"lc","lower","effect","upper","fns","run","Label","Label_short","Group_function","Organism"
"Shrubland",-0.658529134947315,0.636871644457482,1.89549153918641,"Bac_shannonDiv",16,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Shrubland",-4.23901884050085,-2.53726760113343,-0.758944631798095,"Bac_JaccDist_av",16,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Woodland",-1.14632075956817,0.0971297890745772,1.33462707038494,"Bac_richness",16,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Woodland",-1.38410473041577,-0.146999241607043,1.09910978532099,"Bac_shannonDiv",16,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Woodland",-1.00230794454023,0.250792475589432,1.48863656029369,"Bac_JaccDist_av",16,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Grassland",-0.854096920277864,0.413797828282468,1.65695294736699,"Bac_richness",17,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Grassland",-0.892008383360518,0.371616960621276,1.61288818270857,"Bac_shannonDiv",17,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Grassland",-1.43115959283541,-0.193969660196582,1.0550576848853,"Bac_JaccDist_av",17,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Shrubland",0.711021032089718,2.46534090304836,4.14298968627203,"Bac_richness",17,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Shrubland",0.209287002056286,1.74245468389852,3.20322359504289,"Bac_shannonDiv",17,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Shrubland",-3.73712055846686,-2.1578180251972,-0.502358484236324,"Bac_JaccDist_av",17,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Woodland",-1.5415783728564,-0.302610221101367,0.954674768633041,"Bac_richness",17,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Woodland",-1.73293703480176,-0.485823033731091,0.790077195012434,"Bac_shannonDiv",17,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Woodland",-0.899793560514905,0.363000971048624,1.60394246138972,"Bac_JaccDist_av",17,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Grassland",-0.587095232581274,0.720687248893916,1.9875277797931,"Bac_richness",18,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Grassland",-0.763805310227613,0.515660469214468,1.76469409073241,"Bac_shannonDiv",18,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Grassland",-1.76454857901716,-0.515524016652158,0.763925154401655,"Bac_JaccDist_av",18,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Shrubland",0.625347308285222,2.33796184850514,3.97390306897597,"Bac_richness",18,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Shrubland",0.515393581435401,2.17675138352695,3.76187268878811,"Bac_shannonDiv",18,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Shrubland",-2.57246761640487,-1.22920080406041,0.175132446886811,"Bac_JaccDist_av",18,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Woodland",-6.89877674953899,-4.45569994669477,-1.95166378840696,"Bac_richness",18,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Woodland",-4.84955498602214,-2.9886138311351,-1.0530153652953,"Bac_shannonDiv",18,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Woodland",0.0953921654894189,1.58655509010264,3.00788097646891,"Bac_JaccDist_av",18,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Grassland",-0.118062181042775,1.30304857032425,2.66092580653268,"Bac_richness",19,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Grassland",-1.0560131763666,0.192946334316135,1.43013017680394,"Bac_shannonDiv",19,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Grassland",-1.63389344389282,-0.39175604725409,0.873849688243926,"Bac_JaccDist_av",19,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Shrubland",-1.12221628880796,0.122531489749048,1.35977946353995,"Bac_richness",19,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Shrubland",-1.45210167168892,-0.214746774830555,1.03569863055776,"Bac_shannonDiv",19,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Shrubland",-1.75952392105768,-0.510809946438096,0.768067156357935,"Bac_JaccDist_av",19,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Woodland",-5.25788545231525,-3.28579673694075,-1.24123840246206,"Bac_richness",19,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Woodland",-4.27859195198734,-2.56682470215557,-0.778534909008612,"Bac_shannonDiv",19,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Woodland",-0.109645916436498,1.31400974238567,2.67410145228794,"Bac_JaccDist_av",19,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Grassland",0.117153538209112,1.61611225923977,3.04468193738954,"Bac_richness",20,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Grassland",-0.0479634315268297,1.39490175054394,2.77209040411164,"Bac_shannonDiv",20,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Grassland",-2.3564106776375,-1.04576163625725,0.319754348753917,"Bac_JaccDist_av",20,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Shrubland",-1.21857047561407,0.0217311613947543,1.26069895086536,"Bac_richness",20,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Shrubland",-1.33809222903099,-0.100637399330548,1.14298522517847,"Bac_shannonDiv",20,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Shrubland",-1.78843761450263,-0.537839689543788,0.744343023693919,"Bac_JaccDist_av",20,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Woodland",-2.75042409819359,-1.37707983929186,0.0614850685131291,"Bac_richness",20,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Woodland",-2.81469095579127,-1.42983512922739,0.0215196864185861,"Bac_shannonDiv",20,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Woodland",-0.231848449374034,1.15662281316322,2.48633024755298,"Bac_JaccDist_av",20,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Grassland",0.21927699328173,1.7562926498292,3.22070614074904,"Bac_richness",21,"Bacterial Richness","Bacterial R","Richness","Bacteria"
