SampleID,LC,Latitude,Longitude,Elevation,AnnualPrec,AnnualTemp,Soil_pH,Soil_salinity,Soil_texture,Soil_carbon_service,OM_decomposition_service,Soil_stability_service,Nutrient_service,Pathogen_control,Bac_richness,Fungi_richness,Invertebrate_richness,Protist_richness,Nematode_richness,Bac_shannonDiv,Fungi_shannonDiv,Invertebrate_shannonDiv,Protist_shannonDiv,Ectomycorrhizal_richness,Arbuscularmycorrhizal_richness,Decomposer_richness,Bac_JaccDist_av,Fungi_JaccDist_av,Protist_JaccDist_av,Invertebrate_JaccDist_av,PA,PA_type,PA_rank
165,Cropland,available on request,available on request,782,1022.9,1.1850000000000025,6.09,179.2,23.76,4.04,-0.00551510812684613,-0.21949944094212712,3.318088727229103,0.9647058823529412,3693,170,37,428,20,7.5535002321219,3.88488139807522,1.93590175584431,4.90469053450624,1,1,16,0.7913206376412422,0.7932501542694872,0.8756126927077911,0.9125331894220344,0,NA,NA
166,Woodland,available on request,available on request,654,940.1,1.2550000000000012,4.47,45.5,47.65,4.56,-0.6364461343497846,1.2268278596415376,-0.42184528670174865,0.9490445859872612,2036,157,33,122,18,6.3323555410047,3.55387013951078,2.58917228059171,3.72163862522985,6,0,9,0.7720610890816003,0.8194464361932339,0.9076703782588846,0.8844206706865746,0,NA,NA
167,Other,available on request,available on request,751,1320.1,1.1850000000000025,4.22,93.83,25.24,11.28,-0.01435275343934759,1.3515289852830008,0.03724661449589304,0.9689119170984456,2919,193,64,223,35,7.09194884875319,3.70847913706687,3.58056968933954,3.86558028119663,3,3,12,0.7420482691604989,0.761214857482826,0.8814023255558536,0.8810367054044446,0,NA,NA
168,Woodland,available on request,available on request,672,1174.1,1.2250000000000056,4.72,83.5,15.4,2.42,-0.09555662486146368,0.9526911400876266,-0.38414777700462854,0.9636363636363636,3137,165,41,200,26,7.25027803189303,2.9036420180324,2.77508364189547,4.17346261649425,3,0,18,0.7421030961372206,0.7825265224840922,0.8691298282420373,0.895583810641093,0,Not Reported,8
169,Grassland,available on request,available on request,971,1512,1.0450000000000046,4.84,158.13,26.21,19.47,3.294128638839322,1.0580635912546636,0.467607163524507,0.9768339768339768,3125,259,54,369,40,7.19777362696997,4.29640336806849,3.50042679640235,4.89435020452793,3,5,21,0.74998563145314,0.8218096669727971,0.8748113695407581,0.884439872847689,0,NA,NA
170,Cropland,available on request,available on request,1008,1487.5,1.0250000000000057,4.34,61.47,21.77,5.58,-0.3723414295037231,-0.2673036174567816,0.2540547929593047,0.9665271966527196,3500,239,34,404,24,7.46326868686334,4.13908916519817,2.82435903351264,5.22457401087545,3,2,16,0.7474761408389469,0.7812179685275026,0.8446418120123499,0.8970575399938953,0,NA,NA
171,Woodland,available on request,available on request,816,1336.1,1.1450000000000045,4.48,44.2,34.64,6.62,-0.42844126496568963,1.5894961433446049,-0.7568043015390091,0.97435897435897445,2374,117,32,82,17,6.70434231601996,3.34160309520435,2.57428286519071,4.00912953389741,4,0,10,0.7710466483327261,0.8175323291859612,0.9223945584226168,0.8716069222255477,0,NA,NA
172,Cropland,available on request,available on request,900,1462,1.0850000000000022,4.56,85.93,29.01,4.36,-0.1410256695852035,-0.04346509693035545,0.4565039154164736,0.971563981042654,3351,211,40,346,24,7.34729406604934,3.30859673839948,2.46487494732385,4.78574813224886,7,2,15,0.7413796797511706,0.7669163517849567,0.8512096768988571,0.8698015391431723,0,NA,NA
173,Other,available on request,available on request,965,1495.9,1.0450000000000046,4.12,60.13,33.02,4.85,-0.3372470118859631,-0.5009062361209347,0.04470709866312779,0.9560975609756096,2987,205,76,269,49,7.05522185425671,3.50858846739461,3.16463687550038,4.17114805491679,0,3,19,0.7405159175607361,0.7924886018812982,0.8656180993045489,0.8647187628094234,0,NA,NA
174,Woodland,available on request,available on request,1105,1466.8000000000002,0.9650000000000034,4.06,125.5,21.02,11.54,0.8154893332229379,1.2974897524862723,-0.4158818948125971,0.986013986013986,2255,143,41,105,22,6.55351805189138,2.93228469900837,2.74204636140832,4.05887698381105,11,0,17,0.7794444353089667,0.8424869996302987,0.9359106753167606,0.8716980804542032,0,NA,NA
