LC,PA_rank_rev.trend,lower.HPD,upper.HPD,fns,scale,Group_function,scale_icon,significance
Dryland,0.01210608792919742,-0.01468894935908338,0.03802502632800042,Protist_shannonDiv,global,Shannon,<img src='figures/icon_earth-globe-with-continents-maps.png' width='70'>,ns
Grassland,-0.01216577654798811,-0.06860411813840983,0.04302952222644762,Fungi_shannonDiv,continental,Shannon,<img src='figures/icon_location-black.png' width='70'>,ns
Woodland,-0.01357752888810637,-0.06278546537333796,0.03574700917022255,Fungi_shannonDiv,continental,Shannon,<img src='figures/icon_location-black.png' width='70'>,ns
Cropland,-0.01362732713686565,-0.13886242877466515,0.1101554637387423,OM_decomposition_service,regional,Function,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Woodland,0.01452763971082049,-0.0336909924419615,0.06322685507279857,Invertebrate_shannonDiv,regional,Shannon,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Grassland,-0.01528881501932677,-0.09484827211300129,0.06874658782937004,Nutrient_service,regional,Function,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Woodland,-0.01680475526010738,-0.0706410286494421,0.0387421754277355,Nutrient_service,regional,Function,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Woodland,0.01685845251227036,-0.0229795496173395,0.05782027277691526,Nutrient_service,continental,Function,<img src='figures/icon_location-black.png' width='70'>,ns
Dryland,0.01723062061156821,-0.0105192128887781,0.04456799853032045,Nutrient_service,global,Function,<img src='figures/icon_earth-globe-with-continents-maps.png' width='70'>,ns
Grassland,0.01774263572102086,-0.04862543516611595,0.08219769887506345,Invertebrate_shannonDiv,continental,Shannon,<img src='figures/icon_location-black.png' width='70'>,ns
