Order_ID,Latitude_c,Longitude_c,Eco_c,Soil_pH,Soil_salinity,Clay_silt_c,Soil_carbon_service,OM_decomposition_service,Water_regulation_service,Soil_stability_service,Nutrient_service,Pathogen_control,Richness_bacteria,Fungi_18s_richness,Invertebrate_18s_richness,Protist_18s_richness,Ectomycorrhizal_18s_richness,Arbuscular_mycorrhizal_18s_richness,Decomposers_18s_richness,Diss_Bacteria_std,Diss_Fungi_std,Diss_Protists_std,Diss_invert_std,Elevation,AnnualTemp,AnnualPrec,id.x,PA_type,PA,LC
595,47.764,11.721,Forest,5.19,188.9,59.21555556,0.130804343,0.289009725,0.611455311,0.325992659,0.023364077,0.996503497,3080,224,31,489,11,6,51,0.5624,0.5984,0.4017,0.543,764,0.7350000000000023,1494.5,90,V,1,Woodland
604,32.514,-106.8,Grassland,7.35,63.3,20.89444444,0.014774363,0.04427611,0.354248883,0.431498165,0.004063392,0.907925408,3928,187,14,384,2,3,39,0.2039,0.3104,0.1274,0.8514,1370,1.7350000000000023,287.5,91,NA,0,Grassland
609,32.52,-106.797,Grassland,8.34,125.7,12.97222222,0.013864324,0.018432465,0.362691461,0.494527861,0.007639509,0.789044289,4611,247,22,469,2,2,50,0.1725,0.1515,0.0518,0.5687,1341,1.7550000000000012,281.7,92,NA,0,Grassland
611,32.524,-106.795,Grassland,8.18,167.3,21.10333333,0.01704946,0.057433501,0.173983061,0.327260594,0.020684957,0.831002331,4196,216,24,281,5,0,46,0.1505,0.1255,0.2238,0.7605,1341,1.7550000000000012,281.7,93,NA,0,Grassland
617,32.527,-106.794,Grassland,8.17,210,20.47111111,0.022509695,0.060015244,0.260597195,0.477644311,0.030187665,0.629370629,4067,212,17,279,2,2,48,0.1515,0.2346,0.2481,0.556,1319,1.7750000000000057,273.8,94,NA,0,Grassland
634,-30.241,115.064,Shrubland,8.16,182.3,5.747777778,0.036160281,0.107546947,0.322368516,0.81981982,0.0116746,0.954545455,4018,171,12,459,10,2,32,0.1966,0.3452,0.242,0.8252,14,1.9550000000000012,578.1,95,NA,0,Shrubland
637,-30.229,115.068,Shrubland,6.56,71.3,3.142222222,0.025694831,0.021306046,0.27550537,0.897230564,0.004441623,0.998834499,2909,120,2,136,3,3,25,0.3681,0.5159,0.6798,0.9698,24,1.9450000000000045,578,96,NA,0,Shrubland
648,-30.181,115.129,Shrubland,5.54,53.4,2.912222222,0.051175925,0.026609946,0.400365998,0.83983984,0.006742233,0.986013986,2306,142,10,135,5,0,20,0.6154,0.6745,0.7621,0.8924,86,1.9350000000000023,595.1,97,II,1,Shrubland
652,-25.912,153.097,Forest,6.47,25.3,5.518888889,0.029334988,0.090666099,0.328349193,0.80647314,0.003356296,0.96037296,4158,233,54,385,16,8,44,0.4094,0.5817,0.2917,0.5017,77,2.0750000000000055,1414.3000000000002,98,II,1,Woodland
655,-26.072,153.099,Forest,4.76,19.68,0.735555556,0.044920968,0.189641391,0.235269462,0.88655322,0.004445735,0.997668998,1922,160,34,123,13,2,45,0.9291,0.6503,0.844,0.6844,156,2.0250000000000057,1528.1000000000001,99,II,1,Woodland
