ID,nonPA,mahal.min,LC,times.with.error,times,n
26,1003,14.422492058150928,Grassland,29,29,15
1083,1033,14.398257709898088,Grassland,29,29,15
1150,2146,16.06127436749333,Grassland,29,29,15
1243,1241,9.425854838510395,Grassland,29,29,15
1122,1034,14.985981966678452,Shrubland,29,29,15
1094,1066,9.89649850125439,Shrubland,29,29,15
1054,2116,10.14523508058103,Shrubland,29,29,15
1246,279,10.905661850452478,Shrubland,29,29,15
1151,2218,4.758573130737776,Shrubland,29,29,15
2204,2201,9.200102955590204,Woodland,29,29,15
227,2151,16.162290418372567,Woodland,29,29,15
259,2184,4.67341389698139,Woodland,29,29,15
2124,2131,7.076581494718052,Woodland,29,29,15
252,1144,15.39536799576926,Woodland,29,29,15
1243,1265,14.418568687360816,Grassland,30,30,15
25,2145,11.22539250511247,Grassland,30,30,15
26,242,10.479847975465947,Grassland,30,30,15
1152,1007,14.811024169154129,Grassland,30,30,15
1081,1015,12.562857137212355,Grassland,30,30,15
1245,2116,3.9976206303857844,Shrubland,30,30,15
1053,280,4.728736022316764,Shrubland,30,30,15
1089,1034,14.541532571068606,Shrubland,30,30,15
1052,279,3.4761306811867323,Shrubland,30,30,15
1151,1016,4.308459924851374,Shrubland,30,30,15
1048,1116,12.809917053255948,Woodland,30,30,15
2177,2157,15.467348289306626,Woodland,30,30,15
252,1142,16.450374922106914,Woodland,30,30,15
2121,24,7.461077192068209,Woodland,30,30,15
2185,262,3.0468135464684387,Woodland,30,30,15
1082,1030,17.25391031673059,Grassland,31,31,15
1081,2102,15.058664354351658,Grassland,31,31,15
28,27,0.8303048554613848,Grassland,31,31,15
1225,282,14.2283182871342,Grassland,31,31,15
1232,292,11.611836493122848,Grassland,31,31,15
1093,1077,16.430522037176278,Shrubland,31,31,15
250,1006,13.436920198099006,Shrubland,31,31,15
1122,1035,16.025459839275623,Shrubland,31,31,15
1231,2165,3.390068995735203,Shrubland,31,31,15
1245,2106,11.561134921147184,Shrubland,31,31,15
2189,2160,6.7960022298876686,Woodland,31,31,15
1047,2210,16.933890622448182,Woodland,31,31,15
256,1139,16.54416283451886,Woodland,31,31,15
1045,1021,15.69098049975045,Woodland,31,31,15
1048,1051,8.514677095562885,Woodland,31,31,15
1153,1028,7.1875619258717505,Grassland,32,32,15
1225,1195,15.913292947467063,Grassland,32,32,15
1152,1008,15.574870416310421,Grassland,32,32,15
25,2144,12.239328077964483,Grassland,32,32,15
210,1027,17.040477558508417,Grassland,32,32,15
250,1001,14.94559562624879,Shrubland,32,32,15
1093,1111,17.236294089442058,Shrubland,32,32,15
1224,268,16.342509297072567,Shrubland,32,32,15
1054,2103,14.02886935046043,Shrubland,32,32,15
1122,2161,12.17089004551211,Shrubland,32,32,15
2138,2181,12.546576371143454,Woodland,32,32,15
1047,2137,14.266628133862788,Woodland,32,32,15
259,2183,4.825656321292505,Woodland,32,32,15
253,1144,13.447794695051513,Woodland,32,32,15
1048,1139,7.964123906384999,Woodland,32,32,15
1226,282,16.53234005071299,Grassland,33,33,15
1243,243,13.413888606570676,Grassland,33,33,15
2167,1027,14.99699760821059,Grassland,33,33,15
1152,2146,9.486836560629932,Grassland,33,33,15
1083,2107,9.618850797574124,Grassland,33,33,15
1089,1035,11.206110344944062,Shrubland,33,33,15
1223,2161,5.337931776489368,Shrubland,33,33,15
1151,1001,4.667946668039074,Shrubland,33,33,15
1092,1016,12.825266616865239,Shrubland,33,33,15
1094,2214,13.39287816640924,Shrubland,33,33,15
1047,225,12.034125632474215,Woodland,33,33,15
2177,2133,4.808412175061574,Woodland,33,33,15
256,1137,16.288891336260953,Woodland,33,33,15
1046,257,17.13849509025866,Woodland,33,33,15
2185,2184,9.778727169998357,Woodland,33,33,15
2167,1148,8.195695557531462,Grassland,34,34,15
210,1007,11.774116440591726,Grassland,34,34,15
25,1002,13.929493145080587,Grassland,34,34,15
1084,1086,3.8965423470060974,Grassland,34,34,15
1083,1013,14.48057272706889,Grassland,34,34,15
1151,2103,16.21392902483203,Shrubland,34,34,15
1092,2162,11.989322715489719,Shrubland,34,34,15
1246,2165,9.94524461516626,Shrubland,34,34,15
1233,2218,3.2709612500068825,Shrubland,34,34,15
1054,1001,14.317588916588528,Shrubland,34,34,15
226,2155,14.021448888067997,Woodland,34,34,15
2121,2122,8.895862424307344,Woodland,34,34,15
2204,277,16.27011346635942,Woodland,34,34,15
240,2179,12.966352627464335,Woodland,34,34,15
252,2171,3.5825197811941996,Woodland,34,34,15
25,243,7.9121393535843225,Grassland,35,35,15
1149,1008,12.733764095933415,Grassland,35,35,15
1084,2107,10.709051623823937,Grassland,35,35,15
1226,1255,16.97909078665475,Grassland,35,35,15
1152,1028,7.4172812265436265,Grassland,35,35,15
1246,2161,10.105565389853744,Shrubland,35,35,15
1208,2164,4.510844872645989,Shrubland,35,35,15
1053,2106,12.551491803517067,Shrubland,35,35,15
1233,1005,0.8712866837535023,Shrubland,35,35,15
1092,280,16.156457855073615,Shrubland,35,35,15
251,1201,16.591873675562898,Woodland,35,35,15
2124,291,16.82245278910097,Woodland,35,35,15
1096,22,15.19509003936243,Woodland,35,35,15
256,1137,16.288891336260953,Woodland,35,35,15
2189,2155,13.624562203820421,Woodland,35,35,15
210,1008,10.853416771934068,Grassland,36,36,15
25,1007,9.488498160536924,Grassland,36,36,15
1243,1003,9.971326277480882,Grassland,36,36,15
1232,242,4.185222220743298,Grassland,36,36,15
1123,2107,9.37049557887998,Grassland,36,36,15
1151,1023,12.197120222803076,Shrubland,36,36,15
1245,2106,11.561134921147184,Shrubland,36,36,15
1208,2162,5.410329587495826,Shrubland,36,36,15
1089,1006,9.601883383557263,Shrubland,36,36,15
1233,1016,5.97202386041578,Shrubland,36,36,15
223,2157,14.970678861636896,Woodland,36,36,15
2189,2139,11.929988683303224,Woodland,36,36,15
2204,2208,7.4501722364033665,Woodland,36,36,15
1095,291,14.48632688258361,Woodland,36,36,15
253,255,0.5926446494926493,Woodland,36,36,15
